,lat,lng,counts
705,40.8522,14.2681,5
706,40.6533,35.8331,5
707,40.5914,-4.0,5
708,53.0639,158.6275,5
709,45.696,9.6672,5
710,46.2149,2.2102,5
711,51.2249,6.7743,5
712,50.8438,16.4886,5
713,49.6768,12.1561,5
714,49.4445,32.0574,5
715,49.2497,-123.0,5
716,9.9472,106.3423,5
717,49.1952,16.608,5
718,50.633,3.0586,5
719,48.9231,24.7125,5
720,50.7566,12.6303,5
721,48.8648,2.3335,5
722,9.3244,105.9801,5
723,46.4907,11.3398,5
724,50.9292,12.1996,5
725,48.3178,40.2595,5
726,8.9936,-79.0,5
727,51.1,17.0333,5
728,47.3828,8.5307,5
729,35.8145,139.6602,5
730,46.7667,23.6,5
731,46.6369,32.6146,5
732,13.2167,80.3167,5
733,39.9199,32.8543,5
734,50.0986,25.7279,5
735,19.197,72.9635,5
736,55.7858,37.6256,5
737,59.8944,30.2642,5
738,37.5805,126.9084,5
739,55.7255,52.4112,5
740,36.7202,-4.0,5
741,58.0057,56.1953,5
742,37.4054,127.1153,5
743,36.9156,127.1314,5
744,36.6009,126.665,5
745,37.9445,-87.0,5
746,37.0587,-95.0,5
747,37.8747,127.7342,5
748,55.9521,-3.0,5
749,2.4312,103.8405,5
750,37.8044,-122.0,5
751,36.6372,127.4897,5
752,1.6671,101.4432,5
753,36.3304,127.4159,5
754,38.4262,27.4173,5
755,20.2724,85.8338,5
756,21.6422,69.6093,5
757,18.9261,-99.0,5
758,0.9592,-79.0,5
759,38.4405,-122.0,5
760,37.1811,33.215,5
761,37.6567,-121.0,5
762,37.3041,127.1025,5
763,20.6464,106.0511,5
764,1.1494,104.0249,5
765,60.3032,5.2855,5
766,37.5454,126.9296,5
767,51.1333,10.4833,4
768,57.7665,40.9269,4
769,51.1631,21.2398,4
770,31.3256,75.5792,4
771,54.7551,83.0967,4
772,31.3402,34.3063,4
773,57.9303,12.5335,4
774,31.5134,74.3467,4
775,31.6342,-7.0,4
776,50.7766,6.0834,4
777,60.1714,24.9316,4
778,50.6665,-120.0,4
779,32.0871,34.8875,4
780,27.9475,-82.0,4
781,27.8333,113.15,4
782,50.383,8.0611,4
783,50.2584,19.0275,4
784,57.6731,66.1725,4
785,51.3983,0.0,4
786,51.2302,6.7135,4
787,52.525,5.7181,4
788,50.1112,8.6831,4
789,52.221,20.9853,4
790,52.2284,21.0522,4
791,52.2289,21.0519,4
792,52.363,4.8924,4
793,52.4088,7.9729,4
794,29.9547,-90.0,4
795,51.2405,6.1838,4
796,52.9536,-1.0,4
797,55.0411,82.9344,4
798,52.9687,43.8708,4
799,53.45,-2.0,4
800,53.5833,-2.0,4
801,53.7965,-1.0,4
802,30.2832,57.0788,4
803,29.1068,119.6442,4
804,30.3322,-81.0,4
805,51.9017,4.1625,4
806,28.98,77.7064,4
807,51.8657,-2.0,4
808,51.7518,11.9709,4
809,51.5095,0.0,4
810,51.495,4.2917,4
811,56.1365,40.3966,4
812,51.4566,7.0123,4
813,56.2993,39.383,4
814,54.7065,20.511,4
815,56.8777,14.8091,4
816,31.0364,31.3807,4
817,57.6531,14.6968,4
818,51.3833,0.0,4
819,30.1524,118.5191,4
820,35.6959,139.7036,4
821,50.1006,8.7665,4
822,40.4987,47.4925,4
823,34.3665,-89.0,4
824,34.3482,62.1997,4
825,34.2619,-118.0,4
826,39.084,-76.0,4
827,34.1993,-118.0,4
828,40.0951,-75.0,4
829,34.1121,-118.0,4
830,40.5187,-74.0,4
831,38.0414,114.4786,4
832,40.5891,-75.0,4
833,40.9246,-8.0,4
834,41.0153,28.9827,4
835,41.0177,28.9744,4
836,34.0132,-6.0,4
837,41.1437,-104.0,4
838,33.9993,105.1999,4
839,38.4016,-122.0,4
840,37.8227,-121.0,4
841,41.2239,1.7251,4
842,36.7477,-119.0,4
843,36.1833,44.0119,4
844,36.3451,127.3678,4
845,36.3462,127.3721,4
846,36.3549,-79.0,4
