,datetime,lat,lng,counts,date
3084,2021-08-19 08:25:01,42.85,-2.0,1,2021-08-19
3085,2021-08-19 08:27:41,40.8043,-74.0,1,2021-08-19
3086,2021-08-19 08:28:24,39.9075,116.3972,1,2021-08-19
3087,2021-08-19 08:29:05,34.0522,-118.0,1,2021-08-19
3088,2021-08-19 08:34:03,36.819,10.1658,1,2021-08-19
3089,2021-08-19 08:34:12,31.2222,121.4581,1,2021-08-19
3090,2021-08-19 08:35:06,32.0617,118.7778,1,2021-08-19
3091,2021-08-19 08:35:10,1.3215,103.6957,1,2021-08-19
3092,2021-08-19 08:38:18,24.757,121.753,1,2021-08-19
3093,2021-08-19 08:39:55,23.1167,113.25,1,2021-08-19
3094,2021-08-19 08:43:30,23.1167,113.25,1,2021-08-19
3095,2021-08-19 08:46:09,37.566,126.9784,1,2021-08-19
3096,2021-08-19 08:48:06,23.1167,113.25,1,2021-08-19
3097,2021-08-19 08:48:25,39.9075,116.3972,1,2021-08-19
3098,2021-08-19 08:48:29,57.048,9.9187,1,2021-08-19
3099,2021-08-19 08:48:36,40.7402,-73.0,1,2021-08-19
3100,2021-08-19 08:48:43,36.3491,127.3849,1,2021-08-19
3101,2021-08-19 08:48:45,21.0245,105.8412,1,2021-08-19
3102,2021-08-19 08:48:47,40.4165,-3.0,1,2021-08-19
3103,2021-08-19 08:49:16,23.1167,113.25,1,2021-08-19
3104,2021-08-19 08:53:48,37.7749,-122.0,1,2021-08-19
3105,2021-08-19 08:54:24,13.2257,77.575,1,2021-08-19
3106,2021-08-19 08:54:31,23.1167,113.25,1,2021-08-19
3107,2021-08-19 08:54:46,48.8534,2.3488,1,2021-08-19
3108,2021-08-19 08:55:27,42.8865,-78.0,1,2021-08-19
3109,2021-08-19 08:56:01,40.8043,-74.0,1,2021-08-19
3110,2021-08-19 08:58:56,31.2222,121.4581,1,2021-08-19
3111,2021-08-19 09:14:28,13.2257,77.575,1,2021-08-19
3112,2021-08-19 09:15:07,31.2222,121.4581,1,2021-08-19
3113,2021-08-19 09:15:21,21.0245,105.8412,1,2021-08-19
3114,2021-08-19 09:15:27,33.4484,-112.0,1,2021-08-19
3115,2021-08-19 09:16:11,22.5455,114.0683,1,2021-08-19
3116,2021-08-19 09:18:08,37.7805,126.85,1,2021-08-19
3117,2021-08-19 09:20:01,22.5455,114.0683,1,2021-08-19
3118,2021-08-19 09:22:06,39.9075,116.3972,1,2021-08-19
3119,2021-08-19 09:23:04,23.1167,113.25,1,2021-08-19
3120,2021-08-19 09:24:07,14.6407,-90.0,1,2021-08-19
3121,2021-08-19 09:24:21,13.754,100.5014,1,2021-08-19
3122,2021-08-19 09:24:38,21.2333,81.6333,1,2021-08-19
3123,2021-08-19 09:24:57,31.2222,121.4581,1,2021-08-19
3124,2021-08-19 09:24:57,40.8344,-74.0,1,2021-08-19
3125,2021-08-19 09:26:01,23.1167,113.25,1,2021-08-19
3126,2021-08-19 09:26:25,21.0245,105.8412,1,2021-08-19
3127,2021-08-19 09:26:50,39.9075,116.3972,1,2021-08-19
3128,2021-08-19 09:27:19,23.1167,113.25,1,2021-08-19
3129,2021-08-19 09:27:19,39.9075,116.3972,1,2021-08-19
3130,2021-08-19 09:27:34,24.8608,67.0104,1,2021-08-19
3131,2021-08-19 09:28:06,1.2897,103.8501,1,2021-08-19
3132,2021-08-19 09:29:28,40.8344,-74.0,1,2021-08-19
3133,2021-08-19 09:29:40,40.7402,-73.0,1,2021-08-19
3134,2021-08-19 09:29:52,56.8519,60.6122,1,2021-08-19
3135,2021-08-19 09:30:06,28.6627,121.4331,1,2021-08-19
3136,2021-08-19 09:32:54,36.175,-115.0,1,2021-08-19
3137,2021-08-19 09:35:47,23.1167,113.25,1,2021-08-19
3138,2021-08-19 09:35:51,39.9075,116.3972,1,2021-08-19
3139,2021-08-19 09:35:57,21.0245,105.8412,1,2021-08-19
3140,2021-08-19 09:36:03,22.5455,114.0683,1,2021-08-19
3141,2021-08-19 09:36:19,40.8344,-74.0,1,2021-08-19
3142,2021-08-19 09:38:18,50.1155,8.6842,1,2021-08-19
3143,2021-08-19 09:38:50,48.8534,2.3488,1,2021-08-19
3144,2021-08-19 09:39:46,36.8567,127.4433,1,2021-08-19
3145,2021-08-19 09:39:55,49.4542,11.0775,1,2021-08-19
3146,2021-08-19 09:39:59,46.3497,48.0408,1,2021-08-19
3147,2021-08-19 09:40:35,40.8344,-74.0,1,2021-08-19
3148,2021-08-19 09:40:48,43.8664,10.3446,1,2021-08-19
3149,2021-08-19 09:41:26,47.4984,19.0404,1,2021-08-19
3150,2021-08-19 09:42:42,23.7104,90.4074,1,2021-08-19
3151,2021-08-19 09:44:49,39.9075,116.3972,1,2021-08-19
3152,2021-08-19 09:44:57,39.9075,116.3972,1,2021-08-19
3153,2021-08-19 09:45:09,27.7017,85.3206,1,2021-08-19
3154,2021-08-19 09:45:46,19.0728,72.8826,1,2021-08-19
3155,2021-08-19 09:47:45,38.9122,121.6022,1,2021-08-19
3156,2021-08-19 09:48:01,45.4643,9.1895,1,2021-08-19
3157,2021-08-19 09:48:48,19.0728,72.8826,1,2021-08-19
3158,2021-08-19 09:48:49,37.566,126.9784,1,2021-08-19
3159,2021-08-19 09:50:40,30.6667,104.0667,1,2021-08-19
3160,2021-08-19 09:51:41,23.1167,113.25,1,2021-08-19
3161,2021-08-19 09:56:03,46.4907,11.3398,1,2021-08-19
3162,2021-08-19 09:56:11,55.7522,37.6156,1,2021-08-19
3163,2021-08-19 09:56:35,17.384,78.4564,1,2021-08-19
3164,2021-08-19 09:56:45,39.9075,116.3972,1,2021-08-19
3165,2021-08-19 09:57:05,20.6668,-103.0,1,2021-08-19
3166,2021-08-19 09:58:21,40.8344,-74.0,1,2021-08-19
3167,2021-08-19 10:00:20,37.8313,-122.0,1,2021-08-19
3168,2021-08-19 10:03:22,51.5085,0.0,1,2021-08-19
3169,2021-08-19 10:04:09,37.7542,-25.0,1,2021-08-19
3170,2021-08-19 10:04:42,22.3714,114.1133,1,2021-08-19
3171,2021-08-19 10:05:24,30.2936,120.1614,1,2021-08-19
3172,2021-08-19 10:06:57,52.374,4.8897,1,2021-08-19
3173,2021-08-19 10:07:10,43.7001,-79.0,1,2021-08-19
3174,2021-08-19 10:17:22,25.7743,-80.0,1,2021-08-19
3175,2021-08-19 10:34:05,37.3924,-121.0,1,2021-08-19
3176,2021-08-19 10:44:39,31.2222,121.4581,1,2021-08-19
3177,2021-08-19 10:46:52,39.0373,-77.0,1,2021-08-19
3178,2021-08-19 10:50:51,14.6937,-17.0,1,2021-08-19
3179,2021-08-19 10:59:55,23.1167,113.25,1,2021-08-19
